scheme_code,cagr_1y,cagr_3y,cagr_5y,cagr_10y,annual_volatility,max_drawdown,sharpe_3y,data_start,data_end,scheme_name,fund_house,scheme_category,expense_ratio,aum_cr,category_group
108594,0.0493637989334769,0.1325431498680906,0.1099472726088712,0.1076138653029277,0.162801426223266,-0.4550655773473296,0.4455928400074638,2008-06-02,2026-08-06,BANDHAN Flexi Cap Fund - Regular Plan - Growth,Bandhan Mutual Fund,Equity Scheme - Flexi Cap Fund,1.49,32950,Equity
108799,0.0566431234883988,0.135005114603012,0.1155066964202571,0.1220647103182768,0.1963694585249597,-0.4381892397783908,0.3819591659844517,2008-06-04,2026-08-06,BANDHAN Large Cap Fund - Regular Plan - Growth,Bandhan Mutual Fund,Equity Scheme - Large Cap Fund,1.39,40175,Equity
110601,0.1095625426288668,0.1510779828602542,0.1264105023345236,0.1315806377697046,0.187346809308178,-0.3842877425461429,0.4861464318318576,2008-10-29,2026-08-06,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Bonus,Bank of India Mutual Fund,Equity Scheme - Large & Mid Cap Fund,1.51,15375,Equity
111569,0.0602760626486544,0.1054842650862368,0.1197454062736569,0.1441332386539204,0.1667882733525007,-0.4410916068048638,0.2727066128330712,2008-12-29,2026-08-06,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,Bandhan Mutual Fund,Equity Scheme - ELSS,1.45,9228,Equity
113099,0.1172507923592769,0.2392789047142602,0.2307087682950095,0.1378798698898513,0.1919241037763876,-0.4806806282722513,0.93411354377426,2010-07-12,2026-08-06,SBI PSU Fund - REGULAR PLAN -Growth,SBI Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.75,8868,Equity
117716,0.0708483260139234,0.0775918027776907,0.058890917412109,0.0653037940015983,0.0180727354595492,-0.0399404022398675,0.9733890487726696,2012-07-09,2026-08-06,Kotak Credit Risk Fund - Growth,Kotak Mahindra Mutual Fund,Debt Scheme - Credit Risk Fund,0.58,3704,Debt
118419,0.0890762408935259,0.2026077910964294,0.1799548019924834,0.165115631693919,0.1584829317309713,-0.3854246365723029,0.89983059714285,2013-01-02,2026-08-06,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Bandhan Mutual Fund,Equity Scheme - Large & Mid Cap Fund,1.45,11850,Equity
118525,0.0862077672437793,0.1590391445341963,0.1759973642268866,0.1584627309504493,0.1581227926173294,-0.4991771356141838,0.626343254472361,2013-01-01,2026-08-06,Franklin India Small Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Equity Scheme - Small Cap Fund,1.51,6276,Equity
118539,0.0864608407862521,0.232274611140228,0.1989599405396485,0.1698466777771676,0.1619661368218081,-0.3934496056683366,1.0636458615405582,2013-01-01,2026-08-06,Franklin India Opportunities Fund - Direct - Growth,Franklin Templeton Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.73,7800,Equity
118702,0.0650634881163956,0.0751663640986317,0.0673248431402249,0.0701134095780515,0.0304495743349314,-0.1048452609146378,0.4980813173875161,2013-01-08,2026-08-06,Nippon India Low Duration Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Debt Scheme - Low Duration Fund,0.61,5312,Debt
118759,0.1431264954575579,0.1902549432899143,0.137818104665726,0.1599422285017624,0.1541880591916831,-0.2402380764064089,0.8447797058524763,2013-01-02,2026-08-06,Nippon India Pharma Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.75,9000,Equity
119226,0.0567472740908594,0.0750230197309325,0.0640139460414501,0.0709958182889904,0.0135769302075945,-0.0275166239912559,1.1065107871386912,2013-01-02,2026-08-06,DSP Short Term Fund - Direct Plan - Growth,DSP Mutual Fund,Debt Scheme - Short Duration Fund,0.66,8300,Debt
119581,0.1259173953870447,0.2184739496365579,0.1903899927390957,0.1539045536059171,0.1652558102230965,-0.4430830626694854,0.9589614393746096,2013-01-02,2026-08-06,Sundaram Mid Cap Fund Direct Plan - Growth,Sundaram Mutual Fund,Equity Scheme - Mid Cap Fund,1.43,10995,Equity
119597,0.1083831474922425,0.1524645114071396,0.1545156117809691,0.1489845440659947,0.2067757275673439,-0.4322333380191493,0.4471729467232815,2013-01-02,2026-08-06,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,Sundaram Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.69,6204,Equity
119605,0.02421666777187,0.0611707692525727,0.0561820803947219,0.0720721843391558,0.0429335921962062,-0.1080854920323238,0.0272693057506647,2013-01-02,2026-08-06,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Gilt Fund,0.62,6164,Debt
120381,0.1771572042100928,0.2390522376240853,0.1845107528694569,0.1752552673278364,0.1702076817940304,-0.4403892944038928,1.0519633176178134,2013-01-02,2026-08-06,ICICI Prudential MidCap Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Equity Scheme - Mid Cap Fund,1.46,12750,Equity
120488,0.0940929750776682,0.1562044788816343,0.1554280578472755,0.1317617497655245,0.1926585540701858,-0.3737484953952096,0.499352231443546,2013-01-02,2026-08-06,JM Focused Fund (Direct)  - Growth Option,JM Financial Mutual Fund,Equity Scheme - Focused Fund,1.44,18300,Equity
120505,0.1027345295957264,0.1840922912396281,0.1493461353494067,0.1801315754053232,0.3124823169754891,-1.0,0.3971178031471196,2013-01-02,2026-08-06,Axis Midcap Fund - Direct Plan - Growth,Axis Mutual Fund,Equity Scheme - Mid Cap Fund,1.6,20970,Equity
120665,0.0815102469914614,0.1760348707501198,0.1564350073228013,0.1445963702517991,0.1545694015949353,-0.4149770040511521,0.7506975478510348,2013-01-02,2026-08-06,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,Equity Scheme - Large & Mid Cap Fund,1.44,11265,Equity
120762,0.0526321341138982,0.0753835742398423,0.0968577933891825,0.0700642629439876,0.040424866221158,-0.0813032196593016,0.380547313519387,2013-01-02,2026-08-06,UTI Dynamic Bond Fund - Direct Plan - Growth Option,UTI Mutual Fund,Debt Scheme - Dynamic Bond,0.68,10064,Debt
121279,0.0607476062865481,0.0733311727253218,0.0633639936026155,0.0728465707184999,0.0149160864453156,-0.0328664455092763,0.8937446678252843,2013-03-08,2026-08-06,Bandhan Banking and PSU Fund - Direct Growth,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,0.66,8312,Debt
129213,0.0871515811326646,0.178371580674415,0.1680612433492065,0.1449279087675681,0.1757318746366237,-0.5129243257332224,0.6735919759530388,2014-04-07,2026-08-06,Sundaram Infrastructure Advantage Fund Regular Plan - Growth,Sundaram Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.84,13440,Equity
130722,0.0837024457425621,0.0978537428279953,0.0854449681833959,0.0672028872680843,0.0291043528146171,-0.079551129013192,1.3006213561630515,2014-09-08,2026-08-06,Invesco India Credit Risk Fund - Direct Plan - Growth,Invesco Mutual Fund,Income/Debt Oriented Schemes - Credit Risk Fund,0.57,3248,Debt
132757,0.0943928336093291,0.1322004555877407,0.1288803778962859,0.1330000537254629,0.1647357249966427,-0.3688067507626181,0.4382804979867735,2014-10-14,2026-08-06,Tata ELSS Fund-Growth-Regular Plan,Tata Mutual Fund,Equity Scheme - ELSS,1.45,9180,Equity
132995,0.0717427543682722,0.0871344837640291,0.0745624706841767,0.08322403842224,0.0608841696917086,-0.1779220779220779,0.4456738738727407,2014-12-01,2026-08-06,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Hybrid Scheme - Equity Savings,1.16,14880,Equity
133385,0.0955816599122345,0.2148745500438087,0.1665905282449848,0.1628124715626953,0.1767031909190838,-0.3782193991135801,0.8764671947250182,2015-01-22,2026-08-06,Motilal Oswal ELSS Tax Saver Fund - Regular Plan - Growth Option,Motilal Oswal Mutual Fund,Equity Scheme - ELSS,1.46,9456,Equity
133386,0.1084783379958229,0.2293380031215963,0.1806882515457899,0.1776455444562346,0.1766995219187059,-0.3772491365986757,0.9583387735452028,2015-01-22,2026-08-06,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,Motilal Oswal Mutual Fund,Equity Scheme - ELSS,1.51,12564,Equity
133839,0.0566930610975615,0.1194562597333106,0.0985251850271344,0.1510579701759162,0.1588501166987459,-0.3644501278772379,0.3742915710038004,2015-03-09,2026-08-06,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,Equity Scheme - Flexi Cap Fund,1.5,34006,Equity
134017,0.0746868779520781,0.0961797510543545,0.117708303635853,0.0989451246658965,0.2094801234932243,-0.4475762089018283,0.1727120953102013,2015-03-30,2026-08-06,LIC MF Banking and Financial Services Fund-Direct Plan-Growth,LIC Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.75,9036,Equity
135341,0.059960511119254,0.1558507590815097,0.1333107587804318,0.1181937211173698,0.1542738626765013,-0.4664253541271972,0.621302645947877,2015-09-09,2026-08-06,Groww Value Fund (formerly known as Indiabulls Value Fund) - Direct Plan - Growth Option,Groww Mutual Fund,Equity Schemes - Value Fund,1.48,20970,Equity
138308,0.0117394254309131,0.0772567358660198,0.0724555359510084,0.0963429484000713,0.1543871961136199,-0.3753223240247983,0.1117756931949197,2016-03-08,2026-08-06,PGIM India Large Cap Fund - Growth,PGIM India Mutual Fund,Equity Scheme - Large Cap Fund,1.43,45075,Equity
138318,0.0460480456583063,0.0667487521124858,0.0571726192183486,0.0621430686622155,0.0151989087066312,-0.0318507206261334,0.4440287288219209,2016-03-08,2026-08-06,PGIM India Corporate Bond Fund - Growth,PGIM India Mutual Fund,Debt Scheme - Corporate Bond Fund,0.57,3032,Debt
140172,0.079967211093016,0.1497893122120319,0.1299252885183131,,0.1577761801727739,-0.3500925176361744,0.5690929525211443,2016-11-28,2026-08-06,Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option,Edelweiss Mutual Fund,Equity Scheme - Large & Mid Cap Fund,1.66,24645,Equity
141068,-0.0122678239547312,0.1114975170299503,0.1042016030387971,,0.1522518143590277,-0.4030585340130075,0.3382391024156411,2017-04-01,2026-08-06,Quantum Value Fund - Regular Plan Growth Option,Quantum Mutual Fund,Equity Scheme - Value Fund,1.41,15435,Equity
143704,0.025885700534024,0.0705785152238254,0.0651620502127545,,0.0468039083536651,-0.0584157590575684,0.2260177749236412,2018-07-09,2026-08-06,Nippon India Nivesh Lakshya Long Duration Fund- Direct Plan- Growth Option,Nippon India Mutual Fund,Debt Scheme - Long Duration Fund,0.74,13112,Debt
144484,0.0503874375799091,0.082192840178616,0.0851455698922218,,0.0582402405837676,-0.1386260210590452,0.3810568080792151,2018-08-31,2026-08-06,UTI Equity Savings Fund - Regular Plan - Growth Option,UTI Mutual Fund,Hybrid Scheme - Equity Savings,1.24,21330,Equity
145589,0.0323386281687245,0.0599001449064757,0.052736370219101,,0.0187344709082833,-0.022852636819353,-0.0053300194071707,2018-12-06,2026-08-06,Groww Dynamic Term Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option,Groww Mutual Fund,Income/Debt Oriented Schemes - Dynamic Term Fund,0.75,13916,Debt
145677,0.2354214331537059,0.2147802842035908,0.1870971965950898,,0.1811439623923801,-0.3251028806584363,0.8544600778264844,2018-12-27,2026-08-06,BANK OF INDIA Small Cap Fund Regular Plan Growth,Bank of India Mutual Fund,Equity Scheme - Small Cap Fund,1.69,13500,Equity
147346,0.1577980474939229,0.1376095447183432,0.1379300605399556,,0.135428464971708,-0.3073394495412844,0.5730667089415536,2019-06-18,2026-08-06,ICICI Prudential MNC Fund - Direct Plan - Growth Option,ICICI Prudential Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.7,6600,Equity
147371,0.0067699771317009,0.0891318268954017,0.0788775990892818,,0.1565461236605796,-0.331511839708561,0.1860910140359966,2019-07-12,2026-08-06,QUANTUM ESG BEST IN CLASS STRATEGY FUND - REGULAR PLAN - GROWTH OPTION,Quantum Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.64,3660,Equity
147473,0.1431809493775999,0.1717625034267764,0.1460521861708803,,0.168600730091336,-0.3632774804807439,0.662882677709826,2019-07-23,2026-08-06,Kotak Focused Fund- Direct Plan- Growth option,Kotak Mahindra Mutual Fund,Equity Scheme - Focused Fund,1.39,14310,Equity
147701,0.0931920861877717,0.2212502532591072,0.1803437163863266,,0.1948273442641292,-0.3752889802209093,0.8276571949802835,2019-10-22,2026-08-06,Motilal Oswal Large and Midcap Fund - Regular Plan Growth,Motilal Oswal Mutual Fund,Equity Scheme - Large & Mid Cap Fund,1.49,14160,Equity
147919,0.2028965490755638,0.2637823424578571,0.1872609896757775,,0.2016083917724135,-0.3986034972590132,1.0107830366897508,2020-02-19,2026-08-06,ITI Small Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund,Equity Scheme - Small Cap Fund,1.53,7116,Equity
147929,0.0225036130672453,0.0951667722479125,0.0699609588839675,,0.1447088200157381,-0.2508650519031141,0.2430174763645225,2020-02-18,2026-08-06,Axis ESG Integration Strategy Fund - Regular Plan - Growth Option,Axis Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.8,11412,Equity
148623,0.088065416608966,0.1440134149204859,0.1427013284845621,,0.170145961871113,-0.21043892578689,0.493772605571014,2020-12-14,2026-08-06,Mirae Asset Banking and Financial Services Fund Direct Growth,Mirae Asset Mutual Fund,Equity Schemes - Thematic Fund,1.66,4752,Equity
148768,0.0577753931709346,0.0780129944191592,0.0660190863128165,,0.0105649339745662,-0.0052611979489921,1.7049793649939702,2021-03-22,2026-08-06,DSP Floater Fund - Regular Plan - Growth,DSP Mutual Fund,Debt Scheme - Floater Fund,0.61,5720,Debt
148925,0.1572619434988829,0.1764123394180754,0.1982311801061995,,0.1750455811697948,-0.2334426735899151,0.6650401492006532,2021-05-03,2026-08-06,quant Quantamental Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.64,3624,Equity
148980,0.1019646287292037,0.1469379691067582,0.1173632809440827,,0.1467956776129861,-0.2258883248730964,0.5922379358877485,2021-07-01,2026-08-06,BANK OF INDIA Large Cap Fund Direct Plan Growth,Bank of India Mutual Fund,Equity Scheme - Large Cap Fund,1.32,31100,Equity
149167,0.1205958966360614,0.1839881672317356,,,0.1465916056711499,-0.2083720930232558,0.8458067340491463,2021-09-28,2026-08-06,Axis Value Fund - Regular Plan - Growth,Axis Mutual Fund,Equity Scheme - Value Fund,1.39,13875,Equity
149318,0.0384558386900597,0.1850483616188041,,,0.1670693544311249,-0.2238599702123884,0.7484817430736879,2021-11-30,2026-08-06,360 ONE QUANT FUND DIRECT GROWTH,360 ONE Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.72,7740,Equity
149361,0.0546969353684951,0.0754718089318313,,,0.01139617611476,-0.0169493199529844,1.3576316104656014,2021-12-07,2026-08-06,Tata Corporate Bond Fund-Direct Plan-Growth,Tata Mutual Fund,Debt Scheme - Corporate Bond Fund,0.56,2732,Debt
149450,-0.0268451378201264,-0.0050086462274455,,,0.1655348764818228,-0.3015873015873016,-0.3927187285791346,2022-02-09,2026-08-06,Samco Flexi Cap Fund - Direct Plan - Growth Option,Samco Mutual Fund,Equity Scheme - Flexi Cap Fund,1.42,24612,Equity
149766,0.0532005760885483,0.1877492195461152,,,0.1449421619061858,-0.1964285714285715,0.8813806684407068,2022-02-16,2026-08-06,Invesco India Flexi Cap Fund - Regular Plan - Growth,Invesco Mutual Fund,Equity Schemes - Flexi Cap Fund,1.35,17198,Equity
150316,0.0590909726266131,0.0757144448717719,,,0.0145749489996639,-0.0328091052243417,1.078181808535606,2022-03-25,2026-08-06,Aditya Birla Sun Life Fixed Term Plan - Series TQ (1879 days) - Direct Plan - Growth Option,Aditya Birla Sun Life Mutual Fund,Income,1.47,20505,Debt
150347,0.0805278670357785,0.154887480517883,,,0.1294963996714354,-0.1582725615314494,0.7327422288081845,2022-08-03,2026-08-06,WhiteOak Capital Flexi Cap Fund Regular Plan-Growth,WhiteOak Capital Mutual Fund,Equity Scheme - Flexi Cap Fund,1.41,23314,Equity
150387,0.0722527337364595,0.1479110207371898,,,0.1409413201613719,-0.2039579756118855,0.6237419987022643,2022-08-22,2026-08-06,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Equity Scheme - Flexi Cap Fund,1.47,30046,Equity
150884,0.0555318531435176,0.0684432031564796,,,0.0065553847927426,-0.0033073470351996,1.2879797942337383,2022-11-25,2026-05-29,DSP FMP Series - 268 - 1281 Days - Regular - Growth,DSP Mutual Fund,Income,1.35,10935,Debt
150885,0.0571199328210909,0.0700460553086315,,,0.0065761426398414,-0.0032766237983253,1.5276516734548482,2022-11-25,2026-05-29,DSP FMP Series - 268 - 1281 Days - Direct - Growth,DSP Mutual Fund,Income,1.41,15885,Debt
151130,0.1280548869123401,0.1662634041149184,,,0.1729940906062046,-0.2716391483334071,0.6142603122600951,2022-11-28,2026-08-06,HSBC Small Cap Fund - Direct Growth,HSBC Mutual Fund,Equity Scheme - Small Cap Fund,1.69,13404,Equity
151149,0.0559203792007119,0.0734695912356269,,,0.0118140235207894,-0.0059406325655559,1.140135806562777,2022-11-28,2026-08-06,HSBC Medium Duration Fund - Regular Growth,HSBC Mutual Fund,Debt Scheme - Medium Duration Fund,0.72,12068,Debt
151186,0.0601466980464404,0.069589695559979,,,0.0077709189835105,-0.0042088375685791,1.234049097710047,2022-12-20,2026-04-22,Aditya Birla Sun Life Fixed Term Plan - Series UB (1224 days) - Direct Plan Growth Option,Aditya Birla Sun Life Mutual Fund,Income,1.47,20235,Debt
151322,0.0470667007349294,0.0659459622895413,,,0.0126648298605768,-0.0060099819205838,0.4694861561504223,2023-01-23,2026-08-06,TRUSTMF CORPORATE BOND FUND-REGULAR PLAN-GROWTH,Trust Mutual Fund,Debt Scheme - Corporate Bond Fund,0.59,4664,Debt
151564,0.0537058188165571,0.0698921909897101,,,0.0083011226356356,-0.003017616083294,1.191669057778309,2023-03-21,2026-08-06,HDFC FMP 1269D March 2023 - Growth Option,HDFC Mutual Fund,Income,1.48,21000,Debt
151750,0.3033440462618946,0.4150136442219303,,,0.2526410703273177,-0.3454076572108708,1.4052095479249689,2023-06-02,2026-08-06,HDFC Defence Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Equity Scheme - Sectoral/ Thematic,1.8,11580,Equity
