scheme_code,scheme_name
130885,Reliance Dual Advantage Fixed Tenure Fund VI- Plan B- Direct Plan- DIvidend Payout Option
144302,ICICI Prudential Fixed Maturity Plan - Series 83 - 1100 Days Plan R - Direct Plan Cumulative Option
130007,ICICI Prudential Fixed Maturity Plan -Series 74 -370 Days Plan S Direct Plan Dividend Option
124653,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M - Direct Plan - Cumulative
142150,Nippon India Capital Builder Fund IV- Series D- Direct Plan-Dividend Payout Option
144481,NIPPON INDIA FIXED HORIZON FUND - XXXVIII - SERIES 11 - IDCW Option
136420,UTI - Dual Advantage Fixed Term Series III-I (1998 Days) - Regular Plan - Growth Option
145391,HDFC FMP 1261D October 2018 (1) - Quarterly IDCW Option - Direct Plan
140980,ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan E 1222 Days - Dividend Option
150782,Kotak FMP Series 297-Regular Plan-Growth
142102,UTI FTIF SERIES XXVIII - PLAN III (1203 DAYS) - Regular Plan - Flexi IDCW
146614,UTI Fixed Term Income Fund Series XXXI-VII (1155 Days) - Regular Plan - Annual IDCW
131537,Reliance Fixed Horizon Fund XXVII- Series 8- Direct Plan- Growth Option
128203,ICICI Prudential Fixed Maturity Plan-Series 73-383 Days Plan K - Cumulative
131379,Reliance Interval Fund III- Series 1- Direct Plan- Growth Option
139117,ICICI Prudential Capital Protection Oriented Fund - Series IX - 1120 Days Plan F Direct Plan Cumulative Option
147972,Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Weekly Dividend Option
145446,ICICI Prudential Bharat Consumption Fund - Series 5 - Cumulative Option
143174,Nippon India Fixed Horizon Fund XXXVII- Series 4- Direct Plan- Growth Option
125313,ICICI Prudential Fixed Maturity Plan-Series 71-547 Days Plan B - Dividend
145632,ICICI Prudential Fixed Maturity Plan - Series 84 - 1279 Days Plan P - Quarterly IDCW Option
149731,Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) - Regular - IDCW
126484,Reliance Fixed Horizon Fund - XXV - Series 16 - Growth Option
127724,ICICI Prudential Fixed Maturity Plan-Series 73-1140 Days Plan E - Direct Plan - Cumulative
134565,Kotak India Gorwth Fund - Series I - Regular Plan - Growth
143645,Reliance Fixed Horizon Fund XXXVII- Series 13- Growth Option
119631,Sundaram Corporate Bond Fund Direct Plan -Income Distribution cum Capital Withdrawal (IDCW)
149393,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Dividend > 3 Years
146839,Kotak Monthly Interval Plan Series 4-Direct Plan- Dividend Reinvestment
138336,PGIM India Premier Bond Fund - Annual Bonus
145760,Nippon India Fixed Horizon Fund XXXX - Series 5 - Direct Plan - Growth Option
118495,Franklin India Dynamic Accrual Fund - Direct - Growth
125309,Reliance Fixed Horizon Fund - XXV - Series 2-Direct Plan-Growth Option
101803,ICICI Prudential Floating Interest Fund - Fortnightly IDCW
144933,Nippon India Fixed Horizon Fund XXXIX- Series 6- Growth Plan
144457,Kotak FMP Series 237 - Regular Plan -Payout of Income Distribution cum capital withdrawal Option
147992,Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Quarterly Dividend Plan
130010,Reliance Fixed Horizon Fund-XXVI-Series 28-Direct Plan-Growth Option
146773,HDFC FMP 1127D March 2019 (1) - IDCW Option - Direct Plan
143733,ICICI Prudential Fixed Maturity Plan - Series 83 - 1392 Days Plan J - Direct Plan Half Yearly IDCW Option
127734,Reliance Fixed Horizon Fund - XXV - Series 30 - Direct Plan - Dividend Payout Option
135757,Kotak FMP Series 182 - Direct Growth
148441,UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Growth Option
138339,PGIM India Ultra Short Duration Fund - Regular Plan - Weekly Dividend
145512,UTI - Fixed Term Income Fund Series XXX-XI (1246 Days) - Regular Plan - Growth Option
147904,ICICI Prudential Fixed Maturity Plan - Series 87 - 1174 Days Plan B - Direct Plan Quarterly IDCW Option
129287,IL&FS Infrastructure Debt Fund Series 1A - Growth
147261,UTI Fixed Term Income Fund Series XXXI-XIV (1111 Days) - Regular Plan - Annual IDCW
127229,ICICI Prudential Fixed Maturity Plan-Series 72-1075 Days Plan Q - Direct Plan - Dividend
131196,ICICI Prudential Fixed Maturity Plan - Series 75 - 1100 Days Plan I Dividend Option
129684,Reliance Fixed Horizon Fund- XXVI- Series 24- Direct Plan- Dividend Payout Option
133471,Reliance Fixed Horizon Fund XXVIII- Series 4- Direct Plan-Dividend Payout Option
130317,ICICI Prudential Fixed Maturity Plan - Series 74 - 370 Days Plan X Direct Plan Dividend Option
152497,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Regular Plan IDCW Reinvestment Option
126255,Reliance Fixed Horizon Fund - XXV - Series 13 - Dividend Payout Option
127126,Kotak FMP Series 136 (376 Days) - Growth
139397,UTI FTIF Series XXIV - XIV (1831 Days) - Direct Plan - Quarterly IDCW
133770,Kotak Coporate Bond Fund- Retail Plan-Growth Option
141858,ICICI Prudential Capital Protection Oriented Fund - Series XII - Plan C 1270 Days - Cumulative Option
141119,UTI FTIF Series XXVI-VIII (1154 Days)- Direct Plan - Annual Div Option
123188,Kotak FMP Series 106 Direct Dividend
145722,HDFC FMP 1224D DECEMBER 2018 (1) - Quarterly IDCW Option
134384,Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Bonus
142882,ICICI Prudential Fixed Maturity Plan - Series 82 - 1170 Days Plan R - Half Yearly IDCW Option
144572,UTI Fixed Term Income fund - Series XXX - I (1104 DAYS) - Direct Plan - Quarterly IDCW
149720,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund) Direct Plan Fortnightly IDCW
140910,Kotak FMP Series 200-Regular Plan-Growth Option
134410,Reliance Dual Advantage Fixed Tenure Fund VII- Plan E- Direct Plan-Growth Option
146259,ICICI Prudential Fixed Maturity Plan - Series 85 - 1178 Days Plan B - Direct Plan Quarterly IDCW Option
143626,Kotak FMP Series 229 - Regular Plan - Dividend Option
125261,ICICI Prudential Multiple Yield Fund - Series 5 - 1100 Days - Plan B -Cumulative
135287,ICICI Prudential Fixed Maturity Plan - Series 77 - 1151 Days Plan S Dividend Option
131199,ICICI Prudential Dynamic Bond Fund - Direct Plan - Bonus Option
130145,ICICI Prudential Multiple Yield Fund - Series 7 - 1100 Days Plan A Direct Plan Dividend Option
123561,ICICI Prudential Capital Protection Oriented Fund IV - PLAN C - 60 Months - Cumulative
124842,ICICI Prudential Value Fund - Series 1 - Direct Dividend
148001,Franklin India Short-Term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option
140416,UTI FTIF Series XXV-XII (1198 Days) - Regular Plan - Quarterly Div Option
127726,ICICI Prudential Fixed Maturity Plan-Series 73-1140 Days Plan E - Cumulative
129354,Kotak FMP Series 158 (370 Days) - Direct Dividend
144901,NIPPON INDIA FIXED HORIZON FUND - XXXIX - SERIES 4 - IDCW Option
139091,HSBC Fixed Term Series 125 - Direct Plan Growth Option
120606,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan - Half Yearly Dividend
140055,Nippon India Dual Advantage Fixed Tenure Fund X- Plan A- Direct Plan-Dividend Payout Option
146281,HDFC FMP 1168D January 2019 (1) - Quarterly IDCW Option
138309,PGIM India Large Cap Fund Wealth Plan -Dividend Option
135110,ICICI Prudential Capital Protection Oriented Fund - Series VIII - 1101 Days Plan G Dividend Option
124361,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan J - Direct Plan - Cumulative
144937,Reliance Fixed Horizon Fund XXXIX- Series 7- Growth Option
148433,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Growth Option
145084,Kotak FMP Series 246 -Regular Plan - Growth oPtion
134731,ICICI Prudential Fixed Maturity Plan - Series 77 - 1134 Plan H Cumulative Option
126170,ICICI Prudential Fixed Maturity Plan-Series 72-525 Days Plan B - Dividend
146501,HDFC FMP 1146D February 2019 (1) - IDCW Option
132878,ICICI Prudential Capital Protection Oriented Fund - Series VII - 1285 Days Plan B Dividend Option
142846,UTI FTIF SERIES XXVIII - PLAN XIII (1134 DAYS) - Direct Plan - Maturity IDCW
150781,Kotak FMP Series 297-Regular Plan- Payout of IDCW
144104,UTI Fixed Term Income fund - Series XXIX - XIII (1122 DAYS) - Regular Plan - Quarterly IDCW
145434,ICICI Prudential Fixed Maturity Plan - Series 84 - 1247 Days Plan M - Half Yearly IDCW Option
140973,UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Quarterly Div Option
138296,PGIM India Insta Cash Fund - Direct Plan - Annual Dividend
123627,ICICI Prudential Fixed Maturity Plan-Series 69-369 Days Plan J - Direct Plan - Cumulative
147417,UTI Fixed Term Income Fund Series XXXII-II(1111 Days) - Regular Plan - Quarterly IDCW
144579,UTI Fixed Term Income fund - Series XXX - I (1104 DAYS) - Regular Plan - Quarterly IDCW
145026,ICICI Prudential Fixed Maturity Plan - Series 84 - 1288 Days Plan E - Half Yearly IDCW Option
145657,UTI Fixed Term Income Fund Series XXX-XIII (1224 Days) - Regular Plan - Maturity IDCW
144739,UTI Fixed Term Income Fund Series XXX-III (1106 Days) - Direct Plan - Maturity IDCW
144851,Kotak FMP Series 243-Direct Plan - Payout of Income Distribution cum capital withdrawal Option
126644,ICICI Prudential Fixed Maturity Plan-Series 72-483 Days Plan J - Direct Plan - Dividend
136172,Reliance Fixed Horizon Fund XXX- Series 5- Direct Plan- Growth Option
142225,UTI FTIF Series XXVIII-V (1190 Days) Direct Plan - Growth Option
105711,ICICI Prudential Interval Fund - Quarterly Interval Plan I - Retail Dividend
144084,Nippon India Fixed Horizon Fund XXXVIII- Series 5- Direct Plan - Growth Option
147420,UTI - Fixed Term Income Fund Series XXXII-II (1111 Days) - Regular Plan - Growth Option
142095,UTI FTIF SERIES XXVIII - PLAN III (1203 DAYS) - Direct Plan - Quarterly IDCW
144774,Reliance Fixed Horizon Fund XXXIX- Series 3- Dividend Plan
129409,ICICI Prudential Fixed Maturity Plan Series 74 368 Days Plan H Dividend Option
121510,ICICI Prudential Multiple Yield Fund - Series 3 - Plan A - Direct Plan - Cumulative
143530,Reliance Fixed Horizon Fund XXXVII- Series 11- Direct Plan- Dividend Payout Option
127260,ICICI Prudential Fixed Maturity Plan-Series 72-409 Days Plan S - Direct Plan - Dividend
139269,Kotak FMP Series 193 - Regular - Growth
131539,Reliance Fixed Horizon Fund XXVII- Series 8- Growth Option
129542,Kotak FMP Series 160 (1039 Days) - Dividend
150447,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E - Quarterly IDCW
143669,HSBC FTS 134 - IDCW - Tenure 1118 Days - Maturity: 29-Jun-2021
124317,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan G - Direct Plan - Cumulative
103636,ICICI Prudential Money Market Fund Option -Fortnightly IDCW
133783,Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option
135230,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan B-Direct Plan-Growth Option
122654,Reliance Yearly Interval Fund - Series 8 - Direct Plan - Dividend Plan - Dividend Option
148436,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Quarterly Dividend Option
139113,ICICI Prudential Fixed Maturity Plan - Series 78 - 1281 Days Plan V Direct Plan Cumulative Option
144163,ICICI Prudential Fixed Maturity Plan - Series 83 - 1107 Days Plan Q - Cumulative Option
142857,Kotak FMP Series 220-Direct Plan-Growth Option
132765,Reliance Dual Advantage Fixed Tenure Fund VI- Plan F- Dividend Payout Option
123002,ICICI Prudential Fixed Maturity Plan-Series 68-369 Days Plan I - Cumulative
145984,HDFC FMP 1196D December 2018 (1) - IDCW Option
125578,ICICI Prudential Capital Protection Oriented Fund IV - PLAN G - 60 Months Plan - Direct Plan - Dividend
142965,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan U - Cumulative Option
118560,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth
134348,ICICI Prudential Capital Protection Oriented Fund - Series VIII - 1103 Days Plan B Direct Plan Cumulative Option
141166,ICICI Prudential Fixed Maturity Plan - Series 80 - 1225 Days Plan T - Direct Plan - Cumulative Option
145177,Nippon India Fixed Horizon Fund XXXIX- Series 11- Direct Plan- Growth Option
129184,Reliance Fixed Horizon Fund- XXVI- Series 16- Direct Plan - Dividend Payout Option
148349,Baroda BNP Paribas Credit Risk Fund- Regular- Bonus Option- Segregated Portfolio- 1
145005,Kotak FMP Series 245 -Regular Plan-Payout of Income Distribution cum capital withdrawal Option
146663,ICICI Prudential Fixed Maturity Plan - Series 85 - 1156 Days Plan G - Direct Plan Cumulative Option
126666,Kotak FMP Series 133 (524 Days) - Direct Growth
145514,UTI Fixed Term Income Fund Series XXX-XI (1246 Days) - Regular Plan - Flexi IDCW
107070,UTI FIIF Annual Interval Plan IV - Regular Plan - IDCW
139264,ICICI Prudential India Recovery Fund - Series 5 Direct Plan Cumulative Option
147377,Baroda BNP Paribas Money Market Fund- Direct Plan - Growth
148560,quant ESG Integration Strategy Fund - Growth Option - Regular Plan
101672,Tata Value Fund - Regular Plan -Growth Option
135931,ICICI Prudential Fixed Maturity Plan - Series 78 - 1190 Days Plan C Dividend Option
139267,Reliance Fixed Horizon Fund XXX- Series 19- Direct Plan-Growth Option
111704,Baroda BNP Paribas LIQUID FUND - Regular Plan - GROWTH OPTION
134878,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment
153510,Tata Income Plus Arbitrage Active FOF - Regular Plan IDCW Payout Option
146450,ICICI Prudential Fixed Maturity Plan - Series 85 - 1168 Days Plan E - Direct Plan Cumulative Option
111788,Taurus Ethical Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option
109445,ICICI Prudential Banking and Financial Services Fund -  Growth
119671,SBI Dynamic Bond Fund - DIRECT PLAN - Growth
136372,ICICI Prudential Capital Protection Oriented Fund - Series IX - 1325 Days Plan E Cumulative Option
129339,Kotak FMP Series 157 (370 Days) - Growth
110664,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Dividend
141290,UTI FTIF Series XXVI-XII (1096 Days)- Regular Plan - Annual Div Option
141459,Nippon India Fixed Horizon Fund XXXIV- Series 4- Growth Option
124922,ICICI Prudential Fixed Maturity Plan-Series 70-540 Days Plan S - Cumulative
146811,ICICI Prudential Fixed Maturity Plan - Series 85 - 1143 Days Plan J - Direct Plan Cumulative Option
133200,Reliance Fixed Horizon Fund XXVII- Series 15- Direct Plan- Growth Option
144910,Nippon India Fixed Horizon Fund XXXIX- Series 5- Direct Plan- Growth Option
117967,Reliance Fixed Horizon Fund - XXII - Series 29 - Dividend Option
139253,ICICI Prudential Fixed Maturity Plan - Series 78 - 1102 Days Plan Z Cumulative Option
153164,Tata Fixed Maturity Plan Series 61 Scheme D Direct Plan IDCW Payout
101238,Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW
142544,ICICI Prudential Fixed Maturity Plan - Series 82 - 1185 Days Plan M - Direct Plan Cumulative Option
133830,Kotak US Equity Fund - Standard Plan - Dividend option
124142,ICICI Prudential Fixed Maturity Plan-Series 70-366 Days Plan B - Cumulative
134537,ICICI Prudential Fixed Maturity Plan - Series 77 - 1132 Days Plan A Direct Plan Dividend Option
117972,ICICI Prudential Fixed Maturity Plan-Series 65-3 Year Plan A Dividend
152498,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Direct Plan IDCW Reinvestment Option
125314,ICICI Prudential Fixed Maturity Plan-Series 71-547 Days Plan B - Direct Plan - Cumulative
108994,BANDHAN Equity Savings Fund -B-GROWTH
141597,ICICI Prudential Fixed Maturity Plan - Series 81 - 1100 Days Plan O - Direct Plan - Cumulative Option
147357,Nippon India Fixed Horizon Fund XLI - Series 11 - Growth Option
145995,ICICI Prudential Fixed Maturity Plan - Series 84 - 1247 Days Plan W - Quarterly IDCW Option
124829,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D - Direct Plan - Growth Option
145403,ICICI Prudential Ultra Short Term Fund - Fortnightly IDCW
146031,UTI - Fixed Term Income Fund Series XXXI-II (1222 Days) - Regular Plan - Growth Option
148075,UTI Bond Fund ( Segregated - 17022020) - Regular Plan - Annual IDCW
144953,UTI Fixed Term Income Fund Series XXX-IV (1125 Days) - Regular Plan - Maturity IDCW
141939,UTI FTIF Series XXVIII-I (1230 Days) - Direct Plan - Growth Option
127402,Kotak FMP Series 141 (454 Days) - Dividend
143946,Nippon India Fixed Horizon Fund XXXVIII- Series 2- Direct Plan- Growth Option
133046,Reliance Dual Advantage Fixed Tenure Fund VII- Plan A- Direct Plan-Growth Option
144801,HDFC FMP 1487D August 2018 (1) - Quarterly IDCW Option - Direct Plan
139296,ICICI Prudential Fixed Maturity Plan - Series 79 - 1218 Days Plan A Dividend Option
140121,UTI FTIF Series XXV-X (1229 Days)- Direct Plan - Quarterly Div Option
141184,ICICI Prudential Fixed Maturity Plan - Series 81 - 1205 Days Plan B - Direct Plan - Dividend Option
130945,ICICI Prudential Money Market Fund -Bonus
140642,UTI FTIF Series XXVI-III (1169 Days)- Regular Plan - Quarterly Div Option
110384,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Dividend
117796,Reliance Fixed Horizon Fund - XXII - Series 23 - Growth Option
133397,JM Arbitrage Fund (Direct) - Half Yearly Bonus Option - Principal Units
143252,HDFC FMP 1434D May 2018 (1) - Growth Option
100357,ICICI Prudential Liquid Fund -Quarterly IDCW
125025,ICICI Prudential Fixed Maturity Plan-Series 70-1285 Days Plan T - Cumulative
138524,PGIM India Global Equity Opportunities Fund of Fund- Dividend
141679,ICICI Prudential Value Fund - Series 16 - Direct Plan - Dividend Option
133832,Kotak US Equity Fund - Direct Plan - Dividend option
141368,Kotak FMP Series 204-Direct Plan-Dividend Payout Option
136030,Reliance Fixed Horizon Fund XXX- Series 2 - Dividend Payout Option
145548,ICICI Prudential Overnight Fund - Monthly IDCW
145669,Nippon India Interval Fund V - Series 2 - Growth Option
130219,ICICI Prudential Capital Protection Oriented Fund Series VI- 1825 Days Plan C Cumulative Option
122238,Reliance Dual Advantage Fixed Tenure Fund III - Plan B - Direct Plan - Growth Option
127721,ICICI Prudential Fixed Maturity Plan-Series 73-407 Days Plan C - Dividend
131019,UTI Focussed Equity Fund Series - 1 (2195 Days) - Direct Plan - Growth Option
129069,ICICI Prudential Multiple Yield Fund - Series 6 - 1100 Days - Plan E -Dividend
135180,ICICI Prudential Capital Protection Oriented Fund - Series VIII -1105 Days Plan H Dividend Option
142976,ICICI Prudential Fixed Maturity Plan - Series 82 - 1135 Days Plan V - Half Yearly IDCW Option
139119,ICICI Prudential Capital Protection Oriented Fund - Series IX - 1120 Days Plan F Cumulative Option
148109,UTI Regular Saving Fund ( Segregated - 17022020) - Direct Plan - Monthly IDCW
141185,Nippon India Fixed Horizon Fund XXXIII- Series 10- Growth Option
139476,ICICI Prudential Fixed Maturity Plan - Series 79 - 1130 Days Plan E  Direct Plan Dividend Option
139580,Kotak FMP Series 196 - Regular - Growth
124593,ICICI Prudential Fixed Maturity Plan-Series 70-372 Days Plan L - Cumulative
139702,ICICI Prudential Fixed Maturity Plan - Series 79 - 1118 Days Plan K Direct Plan Cumulative Option
142463,ICICI Prudential Fixed Maturity Plan - Series 82 - 1203 Days Plan K - Cumulative Option
147414,UTI Fixed Term Income Fund Series XXXII-II(1111 Days) - Direct Plan - Annual IDCW
149225,ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund - Direct Plan Weekly - IDCW
134630,ICICI Prudential Fixed Maturity Plan - Series 77 - 1130 Days Plan D Direct Plan Cumulative Option
118898,ICICI Prudential Capital Protection Oriented Fund III - PLAN D - 36 Months - Cumulative
130003,ICICI Prudential Growth Fund- Series 1 Direct Dividend
141115,UTI FTIF Series XXVI-VIII (1154 Days)- Regular Plan - Growth Option
140927,Nippon India Fixed Horizon Fund XXXIII- Series 5- Growth Option
140431,Nippon India Dual Advantage Fixed Tenure Fund X- Plan D- Direct Plan-Growth Option
139143,Reliance Fixed Horizon Fund XXX- Series 17- Growth Option
126932,Reliance Fixed Horizon Fund - XXV - Series 19 - Direct Plan - Growth Option
135372,Kotak FMP Series 179 - Regular Growth
128653,ICICI Prudential Fixed Maturity Plan-Series 73-369 Days Plan P- Dividend
140157,Nippon India Fixed Horizon Fund XXXII- Series 2- Dividend Payout Option
141182,ICICI Prudential Fixed Maturity Plan - Series 81 - 1205 Days Plan B - Direct Plan - Cumulative Option
120710,ICICI Prudential Credit Risk Fund - Direct Plan - Half Yearly IDCW
120623,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Growth
117222,Reliance Dual Advantage Fixed Tenure Fund II - Plan C - Dividend Payout Option
146541,UTI Fixed Term Income Fund Series XXXI-VI (1167 Days) - Direct Plan - Annual IDCW
130230,Reliance Fixed Horizon Fund - XXVI - Series 31 - Dividend Payout Option
140648,ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan C 1255 Days - Direct Plan - Dividend Option
127911,Reliance Fixed Horizon Fund - XXVI - Series 1 - Direct Plan - Growth Option
142098,UTI FTIF SERIES XXVIII - PLAN III (1203 DAYS) - Regular Plan - Annual IDCW
140966,UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Maturity Div Option
123366,ICICI Prudential Fixed Maturity Plan-Series 69-433 Days Plan E - Dividend
147361,UTI Fixed Term Income Fund Series XXXII-I(1126 Days) - Regular Plan - Annual IDCW
121722,UTI Quarterly Interval Fund - III -Direct Plan - Growth Option
136235,Reliance Fixed Horizon Fund XXX- Series 6- Growth Option
141886,Kotak FMP Series 211-Direct Plan-Dividend option
144661,UTI Fixed Term Income fund - Series XXX - II (1107 DAYS) - Regular Plan - Quarterly IDCW
146599,Kotak Quarterly Interval Plan Series13- Direct Plan- Growth
117769,ICICI Prudential Fixed Maturity Plan-Series 64-3 Year Plan H Dividend
128543,HDFC FMP 3360D March 2014 (1) - Quarterly IDCW Option
122756,ICICI Prudential Multiple Yield Fund - Series 4 - 1825 Days - Plan D -Dividend
140169,UTI - Dual Advantage Fixed Term Series IV-I (1279 Days) - Direct Plan - Dividend Option
117471,ICICI Prudential Capital Protection Oriented Fund II - Series X - 36 Months - Cumulative
142031,UTI FTIF SERIES XXVIII - PLAN II (1210 DAYS) - Regular Plan - Quarterly IDCW
130265,Reliance Fixed Horizon Fund XXVI- Series 32- Dividend Payout Option
134260,ICICI Prudential Multiple Yield Fund - Series 9 - 1140 Days Plan A Direct Plan Dividend Option
145527,Nippon India Fixed Horizon Fund XXXIX - Series 15 Growth option
147416,UTI Fixed Term Income Fund Series XXXII-II(1111 Days) - Regular Plan - Annual IDCW
125933,Reliance Fixed Horizon Fund - XXV - Series 11 - Growth Option
146736,Reliance Fixed Horizon Fund XLI - Series 2 - Dividend Payout Option
117330,ICICI Prudential Medium Term Bond Fund - Half Yearly IDCW
115767,ICICI Prudential Capital Protection Oriented Fund - Series V - 60 Months - Dividend
131545,ICICI Prudential Growth Fund - Series 4 Direct Dividend
143183,Kotak FMP Series 225-Direct Plan-Growth Option
